open;close;high;low;value;volume;begin;end
20409;20394;20413;20389;0;596;2019-03-11 11:59:00;2019-03-11 11:59:59
20391;20411;20417;20383;0;3234;2019-03-11 12:00:00;2019-03-11 12:00:59
20414;20406;20419;20405;0;381;2019-03-11 12:01:00;2019-03-11 12:01:59
20408;20409;20413;20398;0;517;2019-03-11 12:02:00;2019-03-11 12:02:59
20409;20403;20410;20403;0;322;2019-03-11 12:03:00;2019-03-11 12:03:59
20403;20417;20417;20395;0;512;2019-03-11 12:04:00;2019-03-11 12:04:59
20417;20423;20425;20408;0;800;2019-03-11 12:05:00;2019-03-11 12:05:59
20425;20423;20425;20412;0;371;2019-03-11 12:06:00;2019-03-11 12:06:59
20421;20425;20433;20414;0;1070;2019-03-11 12:07:00;2019-03-11 12:07:59
20425;20420;20428;20420;0;136;2019-03-11 12:08:00;2019-03-11 12:08:59
20421;20424;20425;20420;0;258;2019-03-11 12:09:00;2019-03-11 12:09:59
20424;20435;20440;20422;0;1076;2019-03-11 12:10:00;2019-03-11 12:10:59
20438;20445;20445;20431;0;371;2019-03-11 12:11:00;2019-03-11 12:11:59
20445;20452;20459;20443;0;1368;2019-03-11 12:12:00;2019-03-11 12:12:59
20451;20447;20452;20443;0;365;2019-03-11 12:13:00;2019-03-11 12:13:59
20444;20456;20461;20437;0;1293;2019-03-11 12:14:00;2019-03-11 12:14:59
20455;20457;20468;20446;0;1835;2019-03-11 12:15:00;2019-03-11 12:15:59
20455;20444;20462;20443;0;440;2019-03-11 12:16:00;2019-03-11 12:16:59
20446;20446;20452;20444;0;432;2019-03-11 12:17:00;2019-03-11 12:17:59
20444;20422;20452;20422;0;1280;2019-03-11 12:18:00;2019-03-11 12:18:59
20422;20417;20423;20405;0;1408;2019-03-11 12:19:00;2019-03-11 12:19:59
20416;20419;20421;20412;0;227;2019-03-11 12:20:00;2019-03-11 12:20:59
20418;20424;20429;20413;0;347;2019-03-11 12:21:00;2019-03-11 12:21:59
20424;20419;20430;20417;0;701;2019-03-11 12:22:00;2019-03-11 12:22:59
20420;20427;20430;20417;0;1913;2019-03-11 12:23:00;2019-03-11 12:23:59
20424;20414;20425;20411;0;924;2019-03-11 12:24:00;2019-03-11 12:24:59
20413;20425;20426;20413;0;351;2019-03-11 12:25:00;2019-03-11 12:25:59
20423;20415;20427;20411;0;170;2019-03-11 12:26:00;2019-03-11 12:26:59
